"","population","family","body","sub","mid","ilab","slab","post"
"452","INLAND","1186",175,88,19,20,16,5
"453","INLAND","1200",167,76,19,20,15,6
"454","INLAND","1200",163,74,19,20,16,8
"455","INLAND","1200",168,72,19,20,15,8
"456","INLAND","1200",168,76,19,20,15,7
"457","INLAND","1200",168,78,19,20,16,6
"458","INLAND","1200",169,83,21,20,14,7
"459","INLAND","1200",170,77,19,20,13,6
"460","INLAND","1212",171,81,19,20,14,6
"461","INLAND","1227",168,83,21,20,16,6
"462","INLAND","1227",NA,80,21,20,16,7
"463","INLAND","1227",162,78,21,20,16,6
"464","INLAND","1227",164,85,21,20,14,6
"465","INLAND","1227",164,86,21,20,15,6
"466","INLAND","1227",164,83,21,20,14,6
"467","INLAND","1227",165,83,21,20,16,5
"468","INLAND","1227",166,76,21,20,15,6
"469","INLAND","1227",168,83,21,20,14,7
"470","INLAND","1227",169,77,21,20,16,6
"471","INLAND","1227",169,81,21,20,13,6
"472","INLAND","1227",170,80,21,20,16,6
"473","INLAND","160",171.051645,79.963572,20.954545,19.638325,15.809951,6.190111
"474","INLAND","160",162.394547,80.062586,21.190963,19.608087,14.556188,6.125825
"475","INLAND","160",164.394547,87.062586,21.190963,20.608087,15.556188,7.125825
"476","INLAND","160",167.394547,NA,19.190963,20.608087,15.556188,6.125825
"477","INLAND","160",166.394547,83.062586,21.190963,20.608087,16.556188,6.125825
"478","INLAND","160",167.394547,83.062586,21.190963,19.608087,15.556188,6.125825
"479","INLAND","160",169.394547,83.062586,21.190963,20.608087,15.556188,7.125825
"480","INLAND","160",173.394547,84.062586,21.190963,21.608087,15.556188,6.125825
"481","INLAND","160",173.394547,86.062586,21.190963,19.608087,15.556188,6.125825
"482","INLAND","249",165.051645,82.963572,18.954545,19.638325,15.809951,6.190111
"483","INLAND","249",NA,NA,NA,NA,NA,NA
"484","INLAND","249",166.394547,95.062586,NA,19.608087,16.556188,4.125825
"485","INLAND","249",169.394547,81.062586,19.190963,20.608087,15.556188,6.125825
"486","INLAND","249",169.394547,NA,21.190963,19.608087,15.556188,6.125825
"487","INLAND","259",162.051645,73.963572,18.954545,19.638325,15.809951,6.190111
"488","INLAND","259",160.394547,77.062586,21.190963,19.608087,14.556188,6.125825
"489","INLAND","259",161.394547,76.062586,21.190963,19.608087,15.556188,6.125825
"490","INLAND","259",162.394547,69.062586,19.190963,19.608087,15.556188,6.125825
"491","INLAND","259",162.394547,77.062586,19.190963,20.608087,15.556188,6.125825
"492","INLAND","259",163.394547,NA,21.190963,19.608087,14.556188,6.125825
"493","INLAND","259",163.394547,76.062586,21.190963,19.608087,15.556188,6.125825
"494","INLAND","259",165.394547,75.062586,19.190963,19.608087,15.556188,6.125825
"495","INLAND","259",167.394547,75.062586,19.190963,19.608087,15.556188,6.125825
"496","INLAND","259",171.394547,79.062586,19.190963,23.608087,15.556188,6.125825
"497","INLAND","259",172.394547,79.062586,19.190963,19.608087,13.556188,7.125825
"498","INLAND","260",167.051645,76.963572,18.954545,19.638325,15.809951,6.190111
"499","INLAND","260",153.394547,76.062586,NA,19.608087,15.556188,6.125825
"500","INLAND","260",166.394547,77.062586,21.190963,19.608087,14.556188,6.125825
"501","INLAND","265",165.051645,NA,16.954545,20.638325,15.809951,6.190111
"502","INLAND","265",166.394547,74.062586,19.190963,19.608087,15.556188,7.125825
"503","INLAND","265",166.394547,77.062586,21.190963,20.608087,17.556188,6.125825
"504","INLAND","265",169.394547,77.062586,21.190963,19.608087,15.556188,6.125825
"505","INLAND","265",171.394547,NA,19.190963,21.608087,15.556188,6.125825
"506","INLAND","267",173.051645,73.963572,20.954545,19.638325,15.809951,6.190111
"507","INLAND","267",169.394547,82.062586,19.190963,19.608087,15.556188,6.125825
"508","INLAND","267",170.394547,81.062586,19.190963,19.608087,15.556188,6.125825
"509","INLAND","267",170.394547,83.062586,21.190963,19.608087,15.556188,6.125825
"510","INLAND","267",170.394547,84.062586,21.190963,17.608087,13.556188,5.125825
"511","INLAND","267",171.394547,78.062586,19.190963,19.608087,15.556188,6.125825
"512","INLAND","267",172.394547,80.062586,19.190963,19.608087,15.556188,6.125825
"513","INLAND","267",173.394547,83.062586,21.190963,19.608087,15.556188,6.125825
"514","INLAND","268",166.051645,NA,20.954545,20.638325,16.809951,6.190111
"515","INLAND","268",167.394547,83.062586,21.190963,22.608087,14.556188,7.125825
"516","INLAND","274",171.051645,84.963572,20.954545,19.638325,15.809951,6.190111
"517","INLAND","274",167.394547,81.062586,21.190963,19.608087,15.556188,7.125825
"518","INLAND","274",167.394547,84.062586,21.190963,19.608087,15.556188,6.125825
"519","INLAND","274",171.394547,92.062586,21.190963,19.608087,15.556188,6.125825
"520","INLAND","274",171.394547,86.062586,19.190963,19.608087,15.556188,6.125825
"521","INLAND","274",172.394547,83.062586,21.190963,20.608087,15.556188,6.125825
"522","INLAND","274",173.394547,83.062586,21.190963,20.608087,15.556188,6.125825
"523","INLAND","277",167.051645,79.963572,20.954545,19.638325,15.809951,6.190111
"524","INLAND","277",161.394547,80.062586,21.190963,19.608087,16.556188,7.125825
"525","INLAND","278",169.051645,82.963572,18.954545,20.638325,15.809951,6.190111
"526","INLAND","278",165.394547,86.062586,19.190963,21.608087,17.556188,6.125825
"527","INLAND","278",168.394547,NA,21.190963,20.608087,15.556188,6.125825
"528","INLAND","279",167.051645,63.963572,20.954545,20.638325,15.809951,6.190111
"529","INLAND","279",165.394547,79.062586,19.190963,21.608087,15.556188,6.125825
"530","INLAND","279",166.394547,81.062586,21.190963,21.608087,15.556188,6.125825
"531","INLAND","279",167.394547,NA,21.190963,19.608087,15.556188,6.125825
"532","INLAND","279",168.394547,82.062586,21.190963,21.608087,15.556188,7.125825
"533","INLAND","279",169.394547,82.062586,21.190963,20.608087,15.556188,6.125825
"534","INLAND","279",173.394547,77.062586,21.190963,20.608087,15.556188,6.125825
"535","INLAND","283",165.051645,NA,18.954545,20.638325,15.809951,6.190111
"536","INLAND","283",159.394547,81.062586,21.190963,19.608087,15.556188,6.125825
"537","INLAND","283",167.394547,76.062586,21.190963,20.608087,15.556188,6.125825
"538","INLAND","283",170.394547,NA,21.190963,19.608087,15.556188,6.125825
"539","INLAND","352",164.051645,74.963572,18.954545,20.638325,15.809951,7.190111
"540","INLAND","352",NA,80.062586,21.190963,NA,15.556188,6.125825
"541","INLAND","352",153.394547,78.062586,21.190963,NA,NA,NA
"542","INLAND","352",161.394547,78.062586,21.190963,19.608087,15.556188,6.125825
"543","INLAND","352",164.394547,81.062586,21.190963,19.608087,14.556188,5.125825
"544","INLAND","352",166.394547,75.062586,21.190963,19.608087,15.556188,6.125825
"545","INLAND","352",167.394547,80.062586,21.190963,19.608087,15.556188,6.125825
"546","INLAND","355",165.051645,75.963572,20.954545,19.638325,15.809951,6.190111
"547","INLAND","355",160.394547,81.062586,21.190963,19.608087,13.556188,6.125825
"548","INLAND","355",163.394547,75.062586,21.190963,19.608087,15.556188,6.125825
"549","INLAND","355",163.394547,82.062586,21.190963,19.608087,15.556188,6.125825
"550","INLAND","355",164.394547,79.062586,21.190963,19.608087,14.556188,7.125825
"551","INLAND","355",165.394547,75.062586,21.190963,19.608087,14.556188,6.125825
"552","INLAND","355",165.394547,78.062586,21.190963,19.608087,14.556188,6.125825
"553","INLAND","355",165.394547,79.062586,21.190963,19.608087,13.556188,6.125825
"554","INLAND","355",165.394547,79.062586,21.190963,19.608087,15.556188,6.125825
